game_id	player0	rank_point0	score0	player1	rank_point1	score1	player2	rank_point2	score2	player3	rank_point3	score3	player4	rank_point4	score4	player5	rank_point5	score5
7920	tardigrade	-1	3848	penpenpen	5	4248	wanui	1	4068	fuppy	-3	2908	bono	-5	2340	eijirou	3	4117
7921	wanui	1	3670	bono	-3	3109	penpenpen	3	3819	fuppy	-5	2371	yokozuna57	-1	3297	WA_TLE	5	5219
7922	yokozuna57	-5	1066	penpenpen	-3	3109	bono	-1	3486	eijirou	5	5685	WA_TLE	1	3772	tardigrade	3	4458
7923	WA_TLE	1	4010	wanui	3	4030	yokozuna57	-3	3047	eijirou	-1	3555	tardigrade	-5	2416	fuppy	5	4474
7924	wanui	5	4473	bono	-1	3258	fuppy	-5	2881	yokozuna57	3	4418	tardigrade	1	3477	penpenpen	-3	3098
7925	tardigrade	3	4571	eijirou	-1	4210	yokozuna57	5	4877	bono	-5	1067	wanui	-3	2646	WA_TLE	1	4266
7926	eijirou	1	4183	WA_TLE	-5	2716	fuppy	5	4331	penpenpen	3	4190	bono	-1	3305	wanui	-3	2793
7927	tardigrade	-3	3735	yokozuna57	-5	437	penpenpen	3	4507	WA_TLE	5	4612	eijirou	-1	4123	fuppy	1	4171
7928	penpenpen	1	3668	bono	-5	2826	eijirou	3	3947	fuppy	5	4894	yokozuna57	-3	2922	wanui	-1	3267
7929	fuppy	1	3814	yokozuna57	5	4062	bono	-1	3487	eijirou	-3	3196	tardigrade	3	3899	WA_TLE	-5	3044
7930	fuppy	1	3840	tardigrade	3	3919	bono	-3	3248	penpenpen	5	3983	wanui	-5	2892	WA_TLE	-1	3599
7931	tardigrade	-5	2386	penpenpen	3	3957	yokozuna57	1	3625	eijirou	5	5510	WA_TLE	-3	2814	wanui	-1	3245
7932	fuppy	1	3936	tardigrade	-5	2737	WA_TLE	-1	3538	eijirou	-3	3337	penpenpen	5	4010	wanui	3	3949
7933	bono	-3	2994	WA_TLE	3	4693	fuppy	5	4897	yokozuna57	-5	935	eijirou	1	4606	penpenpen	-1	3374
7934	yokozuna57	-3	3115	wanui	-5	3065	eijirou	3	3703	tardigrade	5	4919	fuppy	1	3528	bono	-1	3219
7935	penpenpen	-1	3411	tardigrade	3	3778	WA_TLE	-3	3357	yokozuna57	1	3665	wanui	5	3979	bono	-5	3324
7936	fuppy	3	3838	WA_TLE	1	3482	penpenpen	-3	3276	tardigrade	-1	3320	bono	5	4495	yokozuna57	-5	3103
7937	penpenpen	-3	3122	wanui	-1	3689	WA_TLE	-5	2633	yokozuna57	3	4030	bono	5	4288	eijirou	1	3864
7938	eijirou	1	3533	tardigrade	-3	3477	penpenpen	3	3601	yokozuna57	5	4944	wanui	-5	2334	fuppy	-1	3530
7939	bono	-1	3995	fuppy	1	4122	eijirou	3	4591	tardigrade	5	5089	wanui	-3	3588	WA_TLE	-5	251
7940	eijirou	-5	2029	yokozuna57	1	3945	wanui	-1	3921	tardigrade	5	4689	bono	3	4632	penpenpen	-3	2321
7941	tardigrade	1	4092	fuppy	-3	2747	WA_TLE	-5	1845	yokozuna57	-1	2919	wanui	3	4939	bono	5	4997
7942	penpenpen	-1	3458	bono	-5	3245	eijirou	3	3787	tardigrade	-3	3386	WA_TLE	1	3726	fuppy	5	3954
7943	WA_TLE	5	4271	penpenpen	-5	3179	fuppy	3	3715	wanui	-1	3490	eijirou	-3	3366	yokozuna57	1	3496
7944	WA_TLE	-1	3899	fuppy	-3	3786	penpenpen	1	4011	wanui	-5	856	tardigrade	5	4718	yokozuna57	3	4311
7945	fuppy	-3	2992	yokozuna57	1	3814	wanui	-5	2691	eijirou	3	4064	bono	5	4299	WA_TLE	-1	3738
7946	bono	-5	2703	wanui	-3	3413	eijirou	1	3437	penpenpen	-1	3424	WA_TLE	3	3950	tardigrade	5	4496
7947	tardigrade	3	3726	eijirou	1	3653	yokozuna57	5	4151	penpenpen	-3	3364	fuppy	-5	3143	bono	-1	3527
